pdb,radius,compactness,openness,n_pocket_res
5dxb.pdb,5.2333574295043945,1.8215285539627075,7.483471393585205,11
5dxe.pdb,6.157710552215576,1.2099227905273438,7.961720943450928,10
5dxg.pdb,4.62313175201416,1.732515811920166,7.21398401260376,10
5dxk.pdb,6.315942764282227,1.3795654773712158,7.977506637573242,13
5dxm.pdb,6.290250778198242,1.3479106426239014,7.92946195602417,13
5dxp.pdb,6.417163372039795,1.395857572555542,7.973874568939209,15
5dxq.pdb,6.248456954956055,1.3677287101745605,7.933348655700684,13
5dxr.pdb,6.397082328796387,1.4139635562896729,7.966577529907227,14
5dy8.pdb,6.552388668060303,1.4232258796691895,7.984487533569336,16
5dyb.pdb,6.429595470428467,1.4278517961502075,7.9541707038879395,15
5dyd.pdb,6.412360191345215,1.428214192390442,7.92733907699585,15
5dz0.pdb,6.429160118103027,1.4186666011810303,7.946916103363037,15
5dz1.pdb,6.392549991607666,1.4403692483901978,7.98696231842041,15
5dz3.pdb,6.395689010620117,1.4139728546142578,7.972478866577148,15
5dzh.pdb,6.327362537384033,1.4361789226531982,7.855710506439209,15
5dzi.pdb,6.380700588226318,1.3961411714553833,7.947733402252197,14
5e0w.pdb,6.217166900634766,1.3905032873153687,7.747432708740234,14
5e0x.pdb,6.254303455352783,1.391173243522644,7.764591693878174,14
5e14.pdb,6.245685577392578,1.3755923509597778,7.703975677490234,14
5e15.pdb,6.2310471534729,1.3706611394882202,7.612161636352539,14
5e19.pdb,6.380496501922607,1.398810863494873,7.960570812225342,14
5e1c.pdb,6.46319055557251,1.3512177467346191,7.966598987579346,14
5egv.pdb,6.393131732940674,1.4597688913345337,7.918092727661133,15
5ehj.pdb,6.5434980392456055,1.4533300399780273,7.9455060958862305,16
5ei1.pdb,6.490323066711426,1.427438497543335,7.989871501922607,15
5eit.pdb,6.40268087387085,1.4172340631484985,7.863067150115967,14
5fqp.pdb,6.665560245513916,0.9421747922897339,7.818227767944336,7
5fqr.pdb,6.772450923919678,1.0009400844573975,7.945043563842773,8
